Country,Count,Percent
United States,831,16.070393
Italy,661,25.094913
Germany,575,16.986706
Brazil,394,31.646586
Argentina,358,19.757174
Spain,353,23.026745
Austria,352,38.260870
Canada,348,36.287800
France,329,23.055361
Bolivia,293,58.019802
