Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Dominica,8.81,13.25,18.42,23.62,30.32,38.54,39.40,40.27,41.16,42.02,47.45,51.31,55.18
Dominican Rep.,3.70,4.43,6.82,7.90,8.87,11.48,14.84,17.66,20.82,27.72,31.40,38.58,45.00
Ecuador,1.46,2.67,4.26,4.46,4.83,5.99,7.20,10.80,18.80,24.60,29.03,31.40,35.13
Egypt,0.64,0.84,2.72,4.04,11.92,12.75,13.66,16.03,18.01,25.69,31.42,39.83,44.07
El Salvador,1.18,1.50,1.90,2.50,3.20,4.20,5.50,6.11,10.08,12.11,15.90,18.90,25.50
Equatorial Guinea,0.13,0.17,0.32,0.52,0.84,1.15,1.28,1.56,1.82,2.13,6.00,11.50,13.94
Eritrea,0.14,0.16,0.23,,,,,,,,,0.70,0.80
Estonia,28.58,31.53,41.52,45.32,53.20,61.45,63.51,66.19,70.58,72.50,74.10,76.50,79.00
Ethiopia,0.02,0.04,0.07,0.11,0.16,0.22,0.31,0.37,0.45,0.54,0.75,1.10,1.48
Falkland (Malvinas) Is.,58.62,64.60,64.15,64.02,67.32,84.01,87.10,90.06,92.96,95.84,95.84,96.38,96.92
Faroe Islands,32.92,43.25,53.30,58.91,66.53,67.90,69.36,75.98,75.57,75.18,75.20,80.73,85.34
Fiji,1.50,1.86,6.15,6.73,7.41,8.45,9.60,10.90,13.00,17.00,20.00,28.00,33.74
Finland,37.25,43.11,62.43,69.22,72.39,74.48,79.66,80.78,83.67,82.49,86.89,89.37,91.00
France,14.31,26.33,30.18,36.14,39.15,42.87,46.87,66.09,70.68,71.58,80.10,79.58,83.00
French Polynesia,6.36,6.25,8.20,14.12,17.88,21.54,25.11,28.59,33.87,44.60,49.00,49.00,52.88
Gabon,1.22,1.35,1.94,2.66,2.98,4.89,5.49,5.77,6.21,6.70,7.23,8.00,8.62
Gambia,0.92,1.34,1.80,2.44,3.31,3.80,5.24,6.21,6.88,7.63,9.20,10.87,12.45
Georgia,0.48,0.99,1.59,2.56,3.89,6.08,7.53,8.26,10.01,20.07,26.90,36.56,45.50
Germany,30.22,31.65,48.82,55.90,64.73,68.71,72.16,75.16,78.00,79.00,82.00,83.00,84.00
Ghana,0.15,0.20,0.83,1.19,1.72,1.83,2.72,3.85,4.27,5.44,7.80,14.11,17.11
Gibraltar,19.13,21.17,23.67,28.33,32.89,39.07,45.30,51.61,58.00,65.07,65.00,65.00,65.02
Greece,9.14,10.94,14.67,17.80,21.42,24.00,32.25,35.88,38.20,42.40,44.40,53.00,56.00
Greenland,31.75,35.46,44.15,54.53,56.10,57.70,59.36,61.07,62.82,62.83,63.00,64.00,64.90
Grenada,4.06,5.13,14.76,18.65,19.57,20.49,21.40,22.29,23.18,24.05,33.46,38.13,42.09
Guam,16.11,25.38,31.19,33.72,36.16,38.56,43.85,46.15,48.42,50.64,54.04,57.70,61.53
Guatemala,0.71,1.74,3.39,4.55,5.10,5.70,6.50,7.30,8.30,9.30,10.50,12.30,16.00
Guernsey,31.90,44.47,53.57,59.14,64.52,73.57,83.63,,,,,83.63,
Guinea,0.10,0.18,0.40,0.45,0.51,0.54,0.64,0.78,0.92,0.94,1.00,1.30,1.49
Guinea-Bissau,0.23,0.30,1.02,1.35,1.81,1.90,2.06,2.21,2.35,2.30,2.45,2.67,2.89
Guyana,6.61,13.21,,,,,,,18.20,23.90,29.90,32.00,34.31
Haiti,0.23,0.34,0.89,1.65,5.40,6.38,6.80,7.20,7.60,8.10,8.37,9.50,10.87
Honduras,1.20,1.42,2.60,4.80,5.60,6.50,7.80,9.40,9.60,9.80,11.09,15.90,18.12
"Hong Kong, China",27.83,38.67,43.08,52.20,56.40,56.90,60.80,64.80,66.70,69.40,72.00,72.20,72.80
Hungary,7.00,14.53,16.67,21.63,27.74,38.97,47.06,53.30,61.00,62.00,65.00,70.00,72.00
Iceland,44.47,49.39,79.12,83.14,83.88,87.00,89.51,90.60,91.00,93.00,93.39,95.02,96.00
India,0.53,0.66,1.54,1.69,1.98,2.39,2.81,3.95,4.38,5.12,7.50,10.07,12.58
Indonesia,0.93,2.02,2.13,2.39,2.60,3.60,4.76,5.79,7.92,6.92,10.92,12.28,15.36
Iran (I.R.),0.93,1.48,4.63,6.93,7.49,8.10,8.76,9.47,10.24,11.07,14.70,21.00,26.00
Iraq,,0.10,0.50,0.60,0.90,0.90,0.95,0.93,1.00,1.06,2.50,5.00,7.10
Ireland,17.85,23.14,25.85,34.31,36.99,41.61,54.82,60.55,65.34,67.38,69.85,76.82,79.00
Israel,20.87,17.38,17.76,19.59,22.77,25.19,27.88,48.13,59.39,63.12,67.50,68.90,73.37
Italy,23.11,27.22,28.04,29.04,33.24,35.00,37.99,40.79,44.53,48.83,53.68,56.80,58.00
Jamaica,3.12,3.86,6.10,7.80,10.00,12.80,16.40,21.10,23.60,24.30,27.67,37.49,46.50
Japan,29.99,38.53,46.59,48.44,62.39,66.92,68.69,74.30,75.40,78.00,78.21,79.05,79.05
Jersey,9.22,16.06,19.41,22.73,30.68,31.25,31.82,32.39,,,,36.00,41.03
Jordan,2.62,4.71,6.03,8.47,11.66,12.93,13.87,20.00,23.00,26.00,27.20,34.90,41.00
Kazakhstan,0.67,1.01,1.67,2.00,2.65,2.96,3.27,4.02,11.00,18.20,31.60,50.60,53.32
Kenya,0.32,0.62,1.21,2.94,3.02,3.10,7.53,7.95,8.67,10.04,14.00,28.00,32.10
Kiribati,1.79,2.34,2.50,3.00,3.50,4.00,4.50,6.00,7.00,8.97,9.07,10.00,10.75
Korea (Rep.),44.70,56.60,59.40,65.50,72.70,73.50,78.10,78.80,81.00,81.60,83.70,83.80,84.10
Kuwait,6.73,8.55,10.25,22.40,22.93,25.93,28.79,34.80,42.00,50.80,61.40,74.20,79.18
Kyrgyzstan,1.04,3.00,3.00,3.91,5.09,10.53,12.31,14.03,15.70,17.00,18.40,20.00,21.72
Lao P.D.R.,0.11,0.18,0.27,0.33,0.36,0.85,1.17,1.64,3.55,6.00,7.00,9.00,10.75
Latvia,6.32,7.22,21.94,26.98,38.58,46.00,53.63,59.17,63.41,66.84,68.42,71.68,74.00
Lebanon,7.95,6.78,7.00,8.00,9.00,10.14,15.00,18.74,22.53,30.14,43.68,52.00,61.25
