Country,Percent,Count
Tanzania,97.902098,140
Cyprus,92.307692,12
Estonia,84.090909,37
Cape Verde,71.428571,30
Kenya,65.540541,97
Madagascar,64.912281,74
Armenia,62.500000,5
Bolivia,58.019802,293
Venezuela,50.395778,191
Ireland,44.444444,44
